,full_name,stargazers_count,language,description,created_at
0,Chanzhaoyu/chatgpt-web,3294,Vue,用 Express 和  Vue3 搭建的 ChatGPT 演示网页,2023-02-09
1,LazyVim/LazyVim,4023,Lua,Neovim config for the lazy,2022-12-30
2,f/awesome-chatgpt-prompts,35997,HTML,This repo includes ChatGPT prompt curation to use ChatGPT better.,2022-12-05
3,LAION-AI/Open-Assistant,17671,Python,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.",2022-12-13
4,lllyasviel/ControlNet,11201,Python,Let us control diffusion models!,2023-02-01
5,PlexPt/awesome-chatgpt-prompts-zh,11002,,ChatGPT 中文调教指南。各种场景使用指南。学习怎么让它听你的话。,2022-12-12
6,lencx/ChatGPT,19221,Rust,"🔮 ChatGPT Desktop Application (Mac, Windows and Linux)",2022-12-07
7,karpathy/nanoGPT,14268,Python,"The simplest, fastest repository for training/finetuning medium-sized GPTs.",2022-12-28
8,FMInference/FlexGen,6035,Python,Throughput-oriented systems for large language models on commodity GPUs.,2023-02-15
9,Mikubill/sd-webui-controlnet,3856,Python,WebUI extension for ControlNet,2023-02-12
10,localsend/localsend,8198,Dart,An open source cross-platform alternative to AirDrop,2022-12-16
11,transitive-bullshit/chatgpt-api,10125,TypeScript,Node.js client for the official ChatGPT API. 🔥,2022-12-03
12,facebookresearch/llama,6627,Python,Inference code for LLaMA models,2023-02-14
13,hiifeng/V2ray-for-Doprax,5468,Dockerfile,"The tool can install v2ray on the Doprax, including VMess and VLess protocols, it will automatically switch IP, you need to fork this projects, read readme.md and run it. Create By ifeng.",2022-12-28
14,google/comprehensive-rust,10367,Rust,This is the Rust course used by the Android team at Google. It provides you the material to quickly teach Rust to everyone.,2022-12-21
15,acheong08/ChatGPT,19792,Python,Reverse engineered ChatGPT API,2022-12-03
16,Kanaries/pygwalker,4067,Jupyter Notebook,PyGWalker: Turn your pandas dataframe into a Tableau-style User Interface for visual analysis,2023-02-16
17,sourcegraph/conc,6150,Go,Better structured concurrency for go,2023-01-02
18,memochou1993/gpt-ai-assistant,3442,JavaScript,OpenAI + LINE + Vercel = GPT AI Assistant,2022-12-09
19,immersive-translate/immersive-translate,3246,Makefile,Immersive Dual Web Page Translation Extension - 沉浸式双语网页翻译扩展 ,2022-12-07
20,dair-ai/Prompt-Engineering-Guide,11213,Jupyter Notebook,":octopus: Guides, papers, lecture, and resources for prompt engineering",2022-12-16
21,humanloop/awesome-chatgpt,5435,,"Curated list of awesome tools, demos, docs for ChatGPT and GPT-3",2022-12-04
22,natemoo-re/clack,3085,TypeScript,Effortlessly build beautiful command-line apps,2023-02-08
23,Nutlope/aicommits,3136,TypeScript,A CLI that writes your git commit messages for you with AI,2023-02-14
24,fuergaosi233/wechat-chatgpt,8819,TypeScript,Use ChatGPT On Wechat via wechaty,2022-12-06
25,shadcn/ui,8633,TypeScript,Beautifully designed components built with Radix UI and Tailwind CSS.,2023-01-04
26,m1guelpf/chatgpt-telegram,3203,Go,"Run your own GPTChat Telegram bot, with a single command!",2022-12-04
27,AutumnWhj/ChatGPT-wechat-bot,3041,TypeScript,ChatGPT for wechat https://github.com/AutumnWhj/ChatGPT-wechat-bot,2022-12-05
28,dair-ai/ML-Papers-Explained,3132,,Explanation to key concepts in ML,2023-01-12
29,google-research/tuning_playbook,16896,,A playbook for systematically maximizing the performance of deep learning models.,2023-01-18
30,total-typescript/ts-reset,4533,TypeScript,"A 'CSS reset' for TypeScript, improving types for common JavaScript API's",2023-02-19
31,lucidrains/PaLM-rlhf-pytorch,5532,Python,Implementation of RLHF (Reinforcement Learning with Human Feedback) on top of the PaLM architecture. Basically ChatGPT but with PaLM,2022-12-09
32,wong2/chatgpt-google-extension,11211,TypeScript,A browser extension that enhance search engines with ChatGPT,2022-12-04
33,DvorakDwarf/Infinite-Storage-Glitch,8093,Rust,"ISG lets you use YouTube as cloud storage for ANY files, not just video",2023-02-14
34,fathyb/carbonyl,11484,Rust,Chromium running inside your terminal,2023-01-20
35,mpociot/chatgpt-vscode,3597,TypeScript,A VSCode extension that allows you to use ChatGPT,2022-12-03
36,openai/point-e,4508,Python,Point cloud diffusion for 3D model synthesis,2022-12-06
37,timothybrooks/instruct-pix2pix,3639,Python,,2023-01-09
38,xiaye13579/BBLL,3318,,一个第三方哔哩哔哩TV和Pad客户端，A third-party bilibili client for TV & Pad。,2022-12-12
39,calistus-igwilo/nitda-blockchain-scholarship,3062,HTML,Course materials for the NITDA Blockchain Scholarship,2022-12-10
40,rawandahmad698/PyChatGPT,3587,Python,"⚡️ Python client for the unofficial ChatGPT API with auto token regeneration, conversation tracking, proxy support and more.",2022-12-05
